brand,vehiclemodel,manufacturingyear,type,rating,color,duty,fuel,cylindercount,type_of_gear,capacity,turbo,odometer,airbags,price
hyundai,sonata se,2009.0,sedan,4.0,metallic,900.0,gas,4.0,auto,2.4,no,84000.0,12.0,17249.0
other,x5 4.8is,2005.0,jeep,2.0,metallic,3894.0,gas,8.0,auto,4.8,no,147200.0,12.0,31361.0
toyota,camry,2009.0,sedan,4.0,pearl white,1003.0,hybrid,4.0,auto,2.4,no,0.0,12.0,13485.0
nissan,juke,2017.0,jeep,6.0,pearl white,831.0,gas,4.0,auto,0,no,47533.0,12.0,27284.0
chevrolet,malibu,2017.0,sedan,5.0,sapphire blue,1771.0,gas,4.0,auto,1.5,yes,53000.0,12.0,23521.0
chevrolet,cruze,2014.0,sedan,2.0,other,584.0,gas,4.0,auto,1.8,no,87685.0,0.0,12544.0
opel,zafira,2003.0,minivan,1.0,charcoal,1322.0,gas,4.0,manual,1.6,no,197500.0,8.0,9408.0
lexus,gx 460.,2004.0,jeep,4.0,metallic,1811.0,gas,8.0,auto,4.6,no,275240.0,0.0,15681.0
chevrolet,cruze lt.,2017.0,sedan,3.0,other,738.0,gas,4.0,auto,0,no,49439.0,6.0,18033.0
honda,fit,2014.0,hatchback,1.0,other,9729.0,hybrid,4.0,auto,1.5,no,81917.0,4.0,10722.0
bmw,x5,2011.0,jeep,3.0,charcoal,1954.0,diesel,16.0,auto,3,no,223000.0,12.0,37633.0
hyundai,tucson,2012.0,jeep,3.0,other,642.0,diesel,14.0,auto,2,no,162300.0,4.0,28241.0
ford,tourneo connect,2012.0,goods wagon,2.0,other,1515.0,diesel,4.0,manual,1.8,yes,145000.0,2.0,14113.0
bmw,x6,2004.0,jeep,5.0,charcoal,11736.0,gas,8.0,auto,4.4,no,0.0,12.0,1176.0
hyundai,tucson,2017.0,jeep,8.0,pearl white,1785.0,diesel,4.0,auto,2,no,98847.0,4.0,43880.0
infiniti,ex35,2008.0,jeep,1.0,sapphire blue,6391.0,gas,6.0,auto,3.5,no,139200.0,6.0,21639.0
hyundai,sonata,2015.0,sedan,5.0,tangerine,10765.0,gas,0.0,auto,2,no,498.0,4.0,9252.0
toyota,prius,2018.0,sedan,2.0,pearl white,1540.0,hybrid,4.0,auto,1.8,no,5700.0,12.0,45473.0
hyundai,sonata,2010.0,sedan,1.0,tangerine,10891.0,gas,4.0,auto,2,no,596900.0,4.0,5645.0
hyundai,sonata.,2017.0,sedan,1.0,crimson,1202.0,gas,14.0,auto,2.4,no,0.0,0.0,18503.0
toyota,camry,2018.0,sedan,0.0,other,968.0,hybrid,4.0,auto,2.5,no,35058.0,12.0,18817.0
porsche,cayenne s,2004.0,jeep,6.0,jet black,2453.0,gas,8.0,auto,4.5,no,315430.0,0.0,14500.0
toyota,camry,2014.0,sedan,3.0,other,2048.0,hybrid,4.0,auto,2.5,no,179381.0,12.0,11133.0
volkswagen,jetta,2014.0,sedan,3.0,metallic,639.0,diesel,14.0,auto,2,no,82392.0,12.0,1568.0
honda,fit,2003.0,sedan,4.0,jet black,2447.0,gas,4.0,auto,1.3,no,0.0,6.0,5802.0
hyundai,h1,2014.0,universal,1.0,other,1091.0,diesel,4.0,auto,2.5,no,133014.0,4.0,43655.0
hyundai,sonata,2015.0,sedan,0.0,other,765.0,gas,4.0,auto,0,no,87196.0,4.0,48575.0
other,m4,2015.0,coupe,4.0,pearl white,1104.0,gas,6.0,auto,3,no,64338.0,12.0,4861.0
hyundai,elantra,2013.0,sedan,3.0,pearl white,530.0,gas,4.0,auto,1.6,no,31691.0,4.0,11917.0
lexus,hs 250h.,2009.0,sedan,5.0,other,831.0,hybrid,4.0,auto,2.4,no,100000.0,8.0,26030.0
bmw,328,2011.0,sedan,5.0,pearl white,8982.0,gas,6.0,auto,3,no,78000.0,10.0,18817.0
toyota,rav 4,2015.0,jeep,3.0,other,934.0,gas,4.0,auto,2.5,no,73931.0,0.0,28225.0
ford,mustang,2013.0,coupe,5.0,crimson,1462.0,gas,16.0,auto,3.7,no,150000.0,8.0,31988.0
bmw,318,2000.0,sedan,1.0,other,1529.0,gas,4.0,manual,0,no,0.0,8.0,7840.0
nissan,frontier,2017.0,sedan,0.0,crimson,1946.0,gas,16.0,auto,4,no,81757.0,12.0,7213.0
mercedes-benz,cl 500,2004.0,coupe,2.0,metallic,4057.0,gas,0.0,auto,5,no,12.0,6.0,17876.0
bmw,x5,2012.0,jeep,2.0,other,2046.0,gas,6.0,auto,0,no,41000.0,8.0,28225.0
chevrolet,malibu,2012.0,sedan,5.0,jet black,642.0,gas,4.0,auto,2,no,135965.0,4.0,25456.0
ford,c-max.,2014.0,sedan,4.0,other,333.0,hybrid,4.0,auto,2,no,163000.0,12.0,17876.0
toyota,camry,2016.0,sedan,2.0,jet black,1091.0,gas,4.0,auto,0,no,70000.0,14.0,31361.0
toyota,prius,2010.0,hatchback,5.0,sapphire blue,761.0,hybrid,14.0,auto,1.8,no,118000.0,10.0,15994.0
kia,optima k5.,2012.0,sedan,6.0,metallic,1783.0,gas,4.0,auto,2,no,45000.0,7.0,18817.0
toyota,camry,2014.0,sedan,1.0,jet black,777.0,gas,4.0,auto,2.5,no,88000.0,10.0,17562.0
ssangyong,rexton,2009.0,jeep,2.0,other,1273.0,diesel,0.0,auto,2.7,no,148.0,4.0,22298.0
bmw,x5,2012.0,jeep,2.0,other,919.0,diesel,0.0,auto,3,no,103.0,0.0,8154.0
lexus,is 250.,2009.0,sedan,2.0,charcoal,2283.0,gas,6.0,auto,0,no,245000.0,10.0,26657.0
mercedes-benz,e 300,2017.0,sedan,0.0,other,1017.0,gas,4.0,auto,2,no,66933.0,12.0,2038.0
dodge,ram 1500,2000.0,jeep,3.0,sapphire blue,2008.0,gas,0.0,auto,5.9,no,60.0,0.0,28225.0
hyundai,tucson,2016.0,jeep,4.0,other,639.0,diesel,4.0,auto,2,no,130000.0,4.0,28303.0
toyota,camry,2015.0,sedan,1.0,pearl white,827.0,hybrid,6.0,auto,2.5,no,89600.0,12.0,46101.0
mercedes-benz,e 200,2001.0,sedan,6.0,sapphire blue,2065.0,gas,4.0,auto,2,no,11111.0,6.0,3000.0
audi,a4,2011.0,sedan,1.0,jet black,5000.0,gas,4.0,auto,2.0,yes,144878.0,8.0,18817.0
hyundai,elantra,2011.0,sedan,2.0,metallic,9417.0,gas,4.0,auto,1.6,no,132742.0,4.0,19121.0
hyundai,santa fe,2014.0,jeep,4.0,jet black,1461.0,gas,4.0,auto,2.4,no,120000.0,8.0,35124.0
subaru,forester,2012.0,jeep,4.0,other,1327.0,gas,4.0,auto,2.5,no,80000.0,12.0,30107.0
hyundai,tucson,2016.0,jeep,3.0,other,891.0,diesel,4.0,auto,2,no,120142.0,4.0,35237.0
hyundai,elantra.,2014.0,sedan,4.0,other,528.0,gas,4.0,auto,1.6,no,80856.0,4.0,28241.0
kia,optima,2013.0,sedan,6.0,other,3144.0,gas,4.0,auto,2.4,no,61680.0,6.0,15681.0
ford,fusion,2015.0,sedan,3.0,jet black,382.0,hybrid,14.0,auto,2,no,88795.0,0.0,2587.0
toyota,chr,2018.0,jeep,0.0,sapphire blue,1677.0,gas,5.0,auto,1.8,no,12987.0,12.0,28000.0
audi,a7,2014.0,hatchback,1.0,charcoal,10915.0,gas,6.0,auto,3,no,191373.0,0.0,9565.0
nissan,juke.,2012.0,jeep,4.0,jet black,531.0,gas,4.0,auto,1.6,no,167405.0,0.0,8781.0
lexus,gx 470,2010.0,jeep,5.0,charcoal,1811.0,gas,8.0,auto,4.6,no,357246.0,0.0,16308.0
opel,sintra,1998.0,minivan,4.0,crimson,1596.0,gas,4.0,manual,2.2,no,30000.0,2.0,3000.0
toyota,camry,2012.0,sedan,4.0,other,781.0,gas,4.0,auto,2.5,no,156800.0,8.0,20385.0
chevrolet,cruze,2011.0,sedan,6.0,other,9479.0,gas,4.0,auto,1.4,yes,178000.0,8.0,12858.0
chevrolet,captiva,2001.0,jeep,6.0,other,1282.0,diesel,4.0,auto,2,no,63558.0,4.0,8311.0
ssangyong,rexton,2014.0,jeep,2.0,other,639.0,diesel,4.0,auto,2,no,87681.0,4.0,45633.0
toyota,prius,2010.0,hatchback,6.0,gold,87.0,hybrid,4.0,auto,0,no,0.0,0.0,12231.0
other,camry le,2016.0,other,5.0,other,1091.0,gas,4.0,auto,2.5,no,17200.0,12.0,37633.0
ford,focus se,2009.0,hatchback,3.0,other,765.0,gas,4.0,manual,1.5,no,197000.0,2.0,14740.0
honda,fit,2006.0,hatchback,2.0,metallic,2447.0,gas,14.0,auto,1.3,no,163000.0,4.0,8311.0
jeep,cherokee,1992.0,jeep,0.0,other,3301.0,gas,8.0,manual,4,no,4512.0,11.0,3136.0
ssangyong,korando,2012.0,jeep,1.0,other,642.0,diesel,0.0,auto,2,no,132.0,4.0,24123.0
toyota,prius,2010.0,sedan,3.0,metallic,761.0,hybrid,4.0,auto,1.8,no,260000.0,6.0,11116.0
kia,niro,2019.0,jeep,0.0,metallic,420.0,hybrid,4.0,auto,1.6,no,429.0,12.0,12701.0
chevrolet,orlando,2012.0,jeep,1.0,pearl white,642.0,diesel,4.0,auto,2,no,132036.0,4.0,14426.0
chevrolet,cruze,2012.0,sedan,2.0,metallic,589.0,gas,4.0,auto,1.4,yes,104000.0,12.0,14113.0
kia,cerato,2008.0,sedan,4.0,metallic,530.0,gas,14.0,auto,0,no,116644.0,4.0,12544.0
mercedes-benz,e 240,2000.0,sedan,3.0,emerald green,2065.0,gas,6.0,auto,2.6,no,314000.0,8.0,8154.0
jeep,compass,2015.0,jeep,2.0,pearl white,900.0,gas,0.0,auto,2.4,no,44.0,4.0,44043.0
toyota,aqua,2014.0,universal,3.0,jet black,271.0,hybrid,14.0,auto,1.5,no,38311.0,4.0,26033.0
hyundai,tucson,2019.0,jeep,4.0,other,11077.0,diesel,4.0,auto,2,no,48000.0,4.0,49858.0
hyundai,sonata,2017.0,sedan,4.0,other,1202.0,gas,4.0,auto,2.4,no,97614.0,12.0,3293.0
mercedes-benz,vito,2007.0,minivan,2.0,pearl white,833.0,diesel,4.0,auto,0,no,188000.0,2.0,16621.0
bmw,225,2000.0,sedan,3.0,jet black,1822.0,gas,6.0,manual,2.5,no,199866.0,8.0,6899.0
ford,transit,1997.0,microbus,2.0,pearl white,3175.0,diesel,14.0,manual,0,no,204000.0,2.0,18817.0
toyota,vitz,2006.0,hatchback,1.0,royal purple,1111.0,gas,4.0,auto,1.3,no,190000.0,4.0,8624.0
toyota,prius,2014.0,sedan,2.0,sapphire blue,584.0,hybrid,4.0,auto,1.8,no,187200.0,8.0,18033.0
hyundai,sonata,2016.0,sedan,0.0,tangerine,891.0,gas,0.0,auto,2,no,388.0,4.0,13172.0
nissan,juke.,2012.0,jeep,1.0,charcoal,530.0,gas,4.0,auto,1.6,yes,128000.0,4.0,21169.0
hyundai,elantra.,2013.0,sedan,3.0,charcoal,585.0,gas,4.0,auto,1.8,no,80000.0,12.0,13172.0
dodge,caliber,2009.0,hatchback,2.0,other,739.0,gas,0.0,auto,2,no,122.0,6.0,14740.0
hyundai,tucson,2011.0,jeep,5.0,charcoal,707.0,diesel,4.0,auto,2,no,119194.0,4.0,18481.0
ssangyong,actyon,2011.0,jeep,3.0,metallic,831.0,diesel,4.0,auto,1.6,no,71908.0,4.0,40901.0
bmw,x1,2009.0,hatchback,6.0,jet black,640.0,diesel,4.0,manual,2.0,yes,215000.0,12.0,1111.0
bmw,328,2013.0,sedan,3.0,pearl white,862.0,gas,4.0,auto,2.8,yes,108800.0,4.0,31361.0
bmw,320,2014.0,sedan,3.0,jet black,639.0,gas,4.0,auto,2.0,yes,59000.0,12.0,23521.0
hyundai,grandeur,2010.0,sedan,3.0,metallic,1099.0,gas,4.0,auto,2.7,no,93168.0,4.0,6269.0
hyundai,accent,2014.0,sedan,1.0,metallic,528.0,diesel,4.0,auto,1.6,no,150743.0,4.0,13589.0
ford,fusion.,2016.0,sedan,4.0,charcoal,431.0,hybrid,4.0,auto,2,no,158699.0,12.0,8781.0
ford,transit.,2007.0,microbus,3.0,pearl white,1408.0,diesel,4.0,manual,2.2,yes,175000.0,2.0,12858.0
mercedes-benz,ml 350,2011.0,jeep,0.0,charcoal,3650.0,diesel,6.0,auto,0,no,200000.0,12.0,36065.0
honda,cr-v,1998.0,jeep,2.0,other,803.0,gas,4.0,auto,2,no,100000.0,12.0,14897.0
hyundai,santa fe,2010.0,jeep,6.0,pearl white,836.0,diesel,4.0,auto,2,no,229757.0,4.0,12676.0
bmw,x5,2012.0,jeep,0.0,pearl white,919.0,diesel,16.0,auto,3,no,274098.0,0.0,13463.0
hyundai,elantra,2011.0,sedan,4.0,metallic,687.0,gas,14.0,auto,1.6,no,62741.0,4.0,8881.0
hyundai,h1,2014.0,minivan,1.0,lemon yellow,777.0,diesel,0.0,auto,2.5,no,198.0,4.0,25264.0
bmw,320,1994.0,coupe,0.0,metallic,2555.0,gas,6.0,auto,2,no,285000.0,4.0,7213.0
hyundai,h1,2011.0,minivan,1.0,other,862.0,diesel,4.0,auto,2.5,no,55248.0,4.0,18660.0
hyundai,elantra,2014.0,sedan,0.0,charcoal,528.0,gas,0.0,auto,1.6,no,164.0,4.0,15624.0
hyundai,accent,2016.0,sedan,1.0,pearl white,650.0,gas,4.0,auto,0,no,92000.0,8.0,21103.0
ford,transit,1999.0,microbus,2.0,pearl white,3175.0,diesel,4.0,manual,2.5,yes,430000.0,1.0,21953.0
vaz,2106,1988.0,sedan,4.0,lemon yellow,556.0,gas,4.0,manual,0.3,no,0.0,0.0,2500.0
toyota,prius,2010.0,hatchback,2.0,other,1622.0,hybrid,4.0,auto,1.8,no,185000.0,6.0,16308.0
nissan,lafesta,2007.0,minivan,3.0,sapphire blue,1787.0,gas,4.0,auto,2,no,200000.0,4.0,5500.0
jeep,cherokee,2009.0,jeep,4.0,other,2363.0,gas,4.0,auto,2.4,no,168000.0,12.0,28852.0
honda,odyssey,2012.0,sedan,1.0,jet black,1058.0,gas,6.0,auto,3.5,no,236698.0,12.0,4234.0
daewoo,lacetti,2009.0,sedan,6.0,metallic,966.0,diesel,4.0,auto,2,no,75644.0,4.0,5959.0
toyota,camry,2012.0,sedan,2.0,jet black,1512.0,gas,6.0,auto,0,no,0.0,12.0,4391.0
honda,civic.,2013.0,sedan,0.0,other,817.0,gas,4.0,auto,1.8,no,120000.0,4.0,20385.0
ssangyong,rexton,2016.0,jeep,1.0,other,87.0,diesel,4.0,auto,0,no,73968.0,4.0,47076.0
toyota,prius.,2010.0,hatchback,1.0,pearl white,761.0,hybrid,4.0,auto,1.8,no,258909.0,12.0,1803.0
ford,transit.,2007.0,microbus,3.0,pearl white,1528.0,diesel,4.0,manual,2.4,no,168000.0,2.0,15681.0
mitsubishi,pajero io,1993.0,jeep,4.0,pearl white,862.0,gas,4.0,auto,1.8,no,196500.0,2.0,8504.0
volkswagen,jetta,2013.0,sedan,2.0,charcoal,1650.0,gas,4.0,auto,2,no,112000.0,10.0,7977.0
ssangyong,rexton,2015.0,jeep,4.0,other,765.0,diesel,4.0,auto,2,no,118366.0,4.0,47076.0
lexus,gx 470,2008.0,jeep,1.0,other,2151.0,gas,8.0,auto,4.7,no,264339.0,0.0,30734.0
hyundai,elantra,2004.0,sedan,2.0,metallic,687.0,gas,4.0,auto,1.6,no,101387.0,4.0,14834.0
kia,avella,2015.0,sedan,4.0,metallic,765.0,gas,4.0,auto,2,no,125621.0,12.0,2038.0
mercedes-benz,e 200.,1995.0,sedan,3.0,sapphire blue,2065.0,gas,4.0,auto,2,no,111111.0,4.0,4704.0
other,cr-z,2010.0,coupe,1.0,crimson,1632.0,hybrid,4.0,manual,1.5,no,200000.0,8.0,11917.0
opel,astra,1998.0,sedan,1.0,pearl white,1154.0,gas,4.0,manual,1.6,no,11111.0,4.0,4704.0
kia,sorento,2011.0,jeep,1.0,metallic,1172.0,gas,0.0,auto,3.5,no,309.0,4.0,2979.0
toyota,prius,2015.0,hatchback,4.0,other,2193.0,hybrid,4.0,auto,1.8,no,92430.0,10.0,22580.0
toyota,camry,2010.0,sedan,2.0,jet black,8976.0,gas,4.0,auto,2.5,no,152000.0,8.0,12544.0
other,cls 55 amg.,2005.0,sedan,3.0,jet black,1632.0,gas,8.0,auto,5.5,yes,333000.0,8.0,25089.0
ssangyong,rexton.,2011.0,jeep,4.0,jet black,707.0,diesel,4.0,auto,0,no,256175.0,4.0,20266.0
toyota,chr,2018.0,jeep,2.0,other,1079.0,gas,4.0,auto,2,no,37214.0,10.0,36065.0
hyundai,tucson,2005.0,jeep,0.0,charcoal,707.0,diesel,4.0,auto,2,no,119194.0,4.0,19613.0
chevrolet,aveo,2012.0,hatchback,4.0,jet black,531.0,gas,4.0,auto,1.6,no,71309.0,4.0,18973.0
honda,insight,2009.0,sedan,4.0,other,1483.0,hybrid,4.0,auto,1.3,no,125000.0,9.0,10976.0
toyota,camry,2013.0,sedan,1.0,jet black,779.0,gas,4.0,auto,0,no,80000.0,8.0,11200.0
mercedes-benz,e 350,2011.0,sedan,3.0,sapphire blue,1172.0,diesel,6.0,auto,3.5,no,64496.0,12.0,13642.0
honda,civic,2015.0,sedan,3.0,sapphire blue,10308.0,hybrid,4.0,auto,1.5,no,49272.0,0.0,4861.0
hyundai,h1,2014.0,minivan,1.0,charcoal,1091.0,diesel,4.0,auto,2.5,no,133687.0,4.0,44843.0
mercedes-benz,e 350,2010.0,sedan,1.0,metallic,2202.0,gas,6.0,auto,3.5,no,238357.0,8.0,16621.0
hyundai,tucson,2010.0,jeep,3.0,metallic,836.0,diesel,4.0,auto,2,no,122222.0,4.0,13962.0
toyota,aqua,2014.0,hatchback,4.0,other,501.0,gas,4.0,auto,1.5,no,42000.0,4.0,30906.0
other,2107.,1999.0,sedan,0.0,pearl white,1632.0,gas,9.0,auto,1.6,no,10000.0,6.0,2800.0
toyota,aqua,2012.0,hatchback,3.0,jet black,502.0,gas,4.0,auto,1.5,no,123700.0,4.0,15530.0
toyota,camry,2012.0,sedan,5.0,pearl white,781.0,hybrid,14.0,auto,2.5,no,156518.0,12.0,3607.0
toyota,prius,2005.0,sedan,0.0,other,645.0,hybrid,4.0,auto,1.8,no,0.0,12.0,17900.0
toyota,highlander,2009.0,jeep,1.0,other,1537.0,hybrid,16.0,auto,3.3,no,420550.0,12.0,12074.0
subaru,crosstrek,2019.0,sedan,1.0,sapphire blue,1077.0,gas,4.0,auto,0,no,6384.0,12.0,7213.0
porsche,cayenne,2006.0,jeep,5.0,other,1300.0,gas,18.0,auto,4.5,yes,150000.0,12.0,18817.0
ford,transit,2001.0,microbus,1.0,pearl white,1998.0,diesel,14.0,manual,2.4,yes,210000.0,2.0,12858.0
toyota,prius c,2006.0,hatchback,0.0,sapphire blue,503.0,hybrid,4.0,auto,1.5,no,139005.0,12.0,11290.0
hyundai,h1,2012.0,minivan,4.0,pearl white,781.0,diesel,14.0,auto,2.5,no,52600.0,4.0,17719.0
hyundai,tucson,2016.0,jeep,1.0,jet black,1337.0,gas,0.0,auto,2,no,23.0,8.0,30420.0
toyota,prius,2010.0,hatchback,4.0,pearl white,1622.0,hybrid,4.0,auto,1.8,yes,383528.0,8.0,16935.0
hyundai,sonata,2016.0,sedan,0.0,tangerine,891.0,gas,4.0,auto,2,no,518650.0,4.0,6837.0
volkswagen,passat,2006.0,sedan,4.0,jet black,1615.0,gas,4.0,auto,2.0,yes,200000.0,6.0,10663.0
hyundai,h1,2014.0,minivan,1.0,charcoal,777.0,diesel,4.0,auto,2.5,no,132023.0,4.0,34905.0
subaru,xv,2015.0,jeep,7.0,jet black,765.0,gas,4.0,auto,2,no,250005.0,0.0,19444.0
toyota,camry,2012.0,sedan,2.0,jet black,781.0,gas,4.0,auto,2.5,no,125000.0,12.0,17876.0
chevrolet,cruze,2009.0,sedan,3.0,other,562.0,gas,4.0,auto,1.4,yes,20800.0,6.0,15681.0
mercedes-benz,b 170,2007.0,sedan,2.0,jet black,2065.0,gas,4.0,auto,1.7,no,102000.0,11.0,11917.0
toyota,camry,2013.0,sedan,1.0,pearl white,779.0,gas,6.0,auto,2.5,no,289600.0,8.0,22894.0
toyota,camry,2015.0,sedan,4.0,metallic,456.0,hybrid,4.0,auto,2.5,no,241227.0,12.0,9722.0
bmw,328,2014.0,sedan,2.0,other,639.0,gas,4.0,auto,2.0,yes,23302.0,4.0,29166.0
chevrolet,cruze,2016.0,sedan,3.0,pearl white,650.0,gas,4.0,auto,1.4,yes,13120.0,12.0,20385.0
honda,cr-v,2018.0,sedan,4.0,sapphire blue,803.0,gas,4.0,auto,1.5,no,56261.0,12.0,20698.0
toyota,camry,2013.0,sedan,1.0,pearl white,779.0,hybrid,14.0,auto,2.5,no,124912.0,12.0,3763.0
hyundai,tucson.,2016.0,jeep,1.0,pearl white,9109.0,diesel,4.0,auto,2,no,47090.0,4.0,36564.0
hyundai,sonata,2009.0,sedan,2.0,tangerine,765.0,gas,4.0,auto,0,no,587949.0,4.0,9252.0
kia,optima,2013.0,sedan,1.0,other,9360.0,gas,4.0,auto,2,no,142661.0,12.0,2901.0
kia,picanto,2016.0,sedan,0.0,metallic,488.0,gas,4.0,manual,1.2,no,94000.0,6.0,10976.0
honda,fit,2011.0,hatchback,1.0,jet black,691.0,gas,4.0,auto,1.3,no,49000.0,4.0,23659.0
hyundai,tucson.,2011.0,jeep,5.0,pearl white,877.0,diesel,4.0,auto,1.7,no,93720.0,4.0,47537.0
ford,fusion.,2011.0,sedan,1.0,crimson,481.0,hybrid,4.0,auto,0,no,18839.0,8.0,21796.0
hyundai,h1,2017.0,minivan,4.0,metallic,1249.0,diesel,4.0,auto,2.5,no,184189.0,4.0,34419.0
hyundai,elantra,2009.0,sedan,3.0,jet black,10966.0,gas,4.0,auto,2,no,268227.0,12.0,1254.0
mercedes-benz,ml 350.,2012.0,jeep,2.0,pearl white,919.0,diesel,6.0,auto,3,no,16981.0,6.0,33870.0
ford,focus,2015.0,sedan,2.0,sapphire blue,765.0,gas,4.0,auto,2,no,100000.0,12.0,11290.0
toyota,aqua,2012.0,hatchback,3.0,sapphire blue,503.0,gas,4.0,auto,1.5,no,69570.0,4.0,14799.0
hyundai,elantra,2006.0,sedan,0.0,other,531.0,gas,4.0,auto,1.8,no,83000.0,8.0,16621.0
honda,civic,1992.0,sedan,0.0,other,2510.0,gas,4.0,manual,0,no,0.0,0.0,4704.0
lexus,rx 450.,2010.0,jeep,0.0,jet black,1399.0,hybrid,0.0,auto,3.5,no,167.0,12.0,5018.0
mercedes-benz,e 320,2004.0,sedan,2.0,sky blue,2065.0,gas,6.0,auto,3.2,no,290000.0,10.0,15681.0
toyota,prius,2010.0,sedan,1.0,other,684.0,hybrid,14.0,auto,1.8,no,93000.0,12.0,15367.0
mercedes-benz,e 350,2014.0,sedan,5.0,charcoal,1604.0,gas,8.0,auto,5.5,no,101424.0,12.0,32302.0
mercedes-benz,e 350,2010.0,sedan,2.0,jet black,2202.0,diesel,6.0,auto,3.5,no,200179.0,12.0,30734.0
honda,insight.,2010.0,hatchback,4.0,sapphire blue,574.0,hybrid,0.0,auto,1.3,no,187.0,0.0,1803.0
bmw,535,2014.0,sedan,0.0,pearl white,915.0,diesel,6.0,auto,3,no,98368.0,12.0,9879.0
chevrolet,orlando,2013.0,jeep,4.0,charcoal,640.0,diesel,4.0,auto,2,no,132969.0,4.0,26324.0
kia,sportage,2020.0,sedan,4.0,other,1273.0,gas,4.0,auto,2.4,no,17466.0,12.0,8311.0
subaru,impreza wrx/sti limited,2016.0,sedan,1.0,sapphire blue,1952.0,gas,4.0,manual,2.5,yes,48000.0,12.0,31988.0
mitsubishi,outlander,2006.0,jeep,0.0,charcoal,823.0,gas,4.0,auto,2.4,no,110500.0,4.0,19066.0
nissan,patrol,1992.0,jeep,0.0,other,1787.0,diesel,6.0,manual,4.2,no,1000.0,0.0,10237.0
jeep,compass,2011.0,jeep,2.0,metallic,9014.0,gas,0.0,auto,2.4,no,121.0,4.0,23110.0
hyundai,genesis,2011.0,coupe,1.0,other,707.0,gas,4.0,auto,2,no,107005.0,4.0,15624.0
volkswagen,tiguan.,2012.0,jeep,1.0,royal purple,642.0,gas,4.0,auto,2.0,yes,48379.0,14.0,21326.0
ford,fusion.,2007.0,sedan,4.0,jet black,640.0,hybrid,4.0,auto,2,no,113523.0,12.0,15716.0
chevrolet,cruze.,2012.0,sedan,1.0,other,580.0,gas,4.0,auto,1.4,yes,57600.0,8.0,12032.0
ssangyong,rexton,2016.0,jeep,5.0,other,971.0,diesel,14.0,auto,2.2,no,115193.0,4.0,44166.0
volkswagen,vento,1996.0,sedan,2.0,jet black,1688.0,gas,4.0,auto,2,no,203658.0,2.0,3000.0
toyota,camry,2013.0,sedan,4.0,other,779.0,hybrid,4.0,auto,2.5,no,190549.0,12.0,5018.0
hyundai,h1,2014.0,minivan,0.0,other,1125.0,diesel,4.0,auto,2.5,no,144000.0,4.0,28391.0
bmw,335 ტურბო,2007.0,sedan,1.0,other,1822.0,gas,6.0,auto,3.5,yes,0.0,8.0,20385.0
hyundai,elantra,2013.0,sedan,3.0,metallic,9415.0,gas,4.0,auto,1.8,no,139867.0,0.0,17249.0
ssangyong,actyon.,2016.0,jeep,5.0,sapphire blue,730.0,diesel,4.0,auto,0,no,54496.0,4.0,43868.0
hyundai,genesis,2009.0,coupe,1.0,other,966.0,gas,4.0,auto,2,no,137851.0,4.0,15612.0
subaru,forester,2013.0,jeep,2.0,other,10779.0,gas,4.0,auto,2.5,no,263459.0,0.0,7527.0
mercedes-benz,vito,1993.0,minivan,3.0,other,925.0,gas,4.0,manual,2.3,no,200000.0,4.0,7527.0
honda,fit,2009.0,hatchback,2.0,metallic,527.0,gas,4.0,auto,1.3,no,101920.0,4.0,13310.0
hyundai,sonata,2014.0,sedan,3.0,other,639.0,gas,4.0,auto,2,no,565573.0,4.0,8467.0
toyota,prius,2010.0,hatchback,5.0,jet black,1622.0,hybrid,0.0,auto,1.5,no,123.0,4.0,12858.0
toyota,prius,2010.0,sedan,5.0,gold,684.0,hybrid,4.0,auto,1.8,no,141000.0,6.0,17876.0
toyota,rav 4,2013.0,jeep,5.0,chocolate,751.0,gas,4.0,auto,2.4,no,92800.0,6.0,39201.0
ssangyong,actyon,2011.0,jeep,2.0,other,831.0,diesel,4.0,auto,1.6,no,54405.0,4.0,40926.0
nissan,rogue,2011.0,jeep,2.0,other,862.0,gas,4.0,auto,0,no,72000.0,8.0,15367.0
nissan,juke,2013.0,jeep,3.0,other,530.0,gas,4.0,auto,1.6,yes,106000.0,10.0,17562.0
bmw,525,1994.0,sedan,2.0,sand,1822.0,gas,16.0,manual,2.5,no,178000.0,5.0,8781.0
mazda,mpv,1994.0,minivan,5.0,emerald green,2958.0,gas,4.0,auto,2.5,no,127000.0,4.0,5331.0
ssangyong,rexton,2011.0,jeep,2.0,other,707.0,diesel,4.0,auto,2,no,113368.0,4.0,24709.0
toyota,highlander,2008.0,jeep,4.0,charcoal,1558.0,hybrid,16.0,auto,3.3,no,157000.0,8.0,34184.0
mazda,protege,2001.0,sedan,0.0,pearl white,2958.0,gas,4.0,auto,1.6,no,11111111.0,2.0,3800.0
mercedes-benz,ml 350,2012.0,jeep,1.0,other,1058.0,diesel,6.0,auto,3.5,no,193267.0,12.0,22266.0
chevrolet,volt,2012.0,hatchback,3.0,sapphire blue,475.0,hybrid,4.0,auto,1.4,no,165900.0,12.0,20385.0
chevrolet,cruze,2018.0,sedan,1.0,pearl white,781.0,gas,0.0,auto,1.4,yes,15.0,8.0,16935.0
mitsubishi,delica,2005.0,minivan,0.0,pearl white,862.0,gas,16.0,auto,3,no,184000.0,12.0,20385.0
